species,province,occurrences_in_province_2023
Lanius cristatus,Davao Oriental,1
Lanius cristatus,Davao del Norte,17
Lanius cristatus,Davao del Sur,163
Lanius cristatus,Eastern Samar,1
Lanius cristatus,Guimaras,2
Lanius cristatus,Ifugao,28
Lanius cristatus,Ilocos Norte,16
Lanius cristatus,Ilocos Sur,6
Lanius cristatus,Iloilo,43
Lanius cristatus,Isabela,11
Lanius cristatus,Kalinga,1
Lanius cristatus,La Union,20
Lanius cristatus,Laguna,169
Lanius cristatus,Leyte,47
Lanius cristatus,Maguindanao,33
Lanius cristatus,Masbate,14
Lanius cristatus,Metropolitan Manila,6
Lanius cristatus,Misamis Occidental,2
Lanius cristatus,Misamis Oriental,7
Lanius cristatus,Mountain Province,8
Lanius cristatus,National Capital Region (Manila),781
Lanius cristatus,Negros Occidental,146
Lanius cristatus,Negros Oriental,115
Lanius cristatus,Northern Samar,2
Lanius cristatus,Nueva Ecija,15
Lanius cristatus,Nueva Vizcaya,6
Lanius cristatus,Occidental Mindoro,53
Lanius cristatus,Oriental Mindoro,9
Lanius cristatus,Palawan,79
Lanius cristatus,Pampanga,64
Lanius cristatus,Pangasinan,21
Lanius cristatus,Quezon,143
Lanius cristatus,Rizal,284
Lanius cristatus,Romblon,7
Lanius cristatus,Samar,1
Lanius cristatus,Sarangani,3
Lanius cristatus,Siquijor,12
Lanius cristatus,Sorsogon,64
Lanius cristatus,South Cotabato,32
Lanius cristatus,Sultan Kudarat,9
Lanius cristatus,Surigao del Norte,20
Lanius cristatus,Surigao del Sur,12
Lanius cristatus,Tarlac,61
Lanius cristatus,Zambales,22
Lanius cristatus,Zamboanga del Norte,1
Lanius cristatus,Zamboanga del Sur,26
Passer montanus,Abra,5
Passer montanus,Agusan del Norte,17
Passer montanus,Agusan del Sur,7
Passer montanus,Aklan,44
Passer montanus,Albay,29
Passer montanus,Antique,26
Passer montanus,Aurora,5
Passer montanus,Basilan,1
Passer montanus,Bataan,86
Passer montanus,Batanes,557
Passer montanus,Batangas,99
Passer montanus,Benguet,82
Passer montanus,Bohol,103
Passer montanus,Bukidnon,47
Passer montanus,Bulacan,128
Passer montanus,Cagayan,16
Passer montanus,Camarines Norte,1
Passer montanus,Camarines Sur,63
Passer montanus,Camiguin,20
Passer montanus,Capiz,4
Passer montanus,Catanduanes,1
Passer montanus,Cavite,216
Passer montanus,Cebu,202
Passer montanus,Central Luzon,1
Passer montanus,Compostela Valley,18
Passer montanus,Cotabato,8
Passer montanus,Davao Occidental,1
Passer montanus,Davao Oriental,2
Passer montanus,Davao del Norte,53
Passer montanus,Davao del Sur,222
Passer montanus,Eastern Samar,1
Passer montanus,Guimaras,2
Passer montanus,Ifugao,21
Passer montanus,Ilocos Norte,25
Passer montanus,Ilocos Sur,22
Passer montanus,Iloilo,107
Passer montanus,Isabela,3
Passer montanus,Kalinga,2
Passer montanus,La Union,39
Passer montanus,Laguna,280
Passer montanus,Lanao del Norte,5
Passer montanus,Leyte,62
Passer montanus,Maguindanao,80
Passer montanus,Marinduque,4
Passer montanus,Masbate,22
Passer montanus,Metropolitan Manila,25
Passer montanus,Misamis Occidental,8
Passer montanus,Misamis Oriental,14
Passer montanus,Mountain Province,6
Passer montanus,National Capital Region (Manila),2085
Passer montanus,Negros Occidental,288
Passer montanus,Negros Oriental,131
Passer montanus,Northern Samar,2
Passer montanus,Nueva Ecija,21
Passer montanus,Nueva Vizcaya,5
Passer montanus,Occidental Mindoro,43
Passer montanus,Oriental Mindoro,19
Passer montanus,Palawan,379
Passer montanus,Pampanga,127
Passer montanus,Pangasinan,42
Passer montanus,Quezon,61
Passer montanus,Rizal,274
Passer montanus,Romblon,15
Passer montanus,Samar,3
Passer montanus,Sarangani,13
Passer montanus,Siquijor,11
Passer montanus,Sorsogon,74
Passer montanus,South Cotabato,40
Passer montanus,Sultan Kudarat,28
Passer montanus,Surigao del Norte,47
Passer montanus,Surigao del Sur,26
Passer montanus,Tarlac,61
Passer montanus,Tawi-Tawi,4
Passer montanus,Zambales,32
Passer montanus,Zamboanga del Norte,2
Passer montanus,Zamboanga del Sur,51
Pycnonotus goiavier,Abra,8
Pycnonotus goiavier,Agusan del Norte,27
Pycnonotus goiavier,Agusan del Sur,61
Pycnonotus goiavier,Aklan,37
Pycnonotus goiavier,Albay,29
Pycnonotus goiavier,Antique,33
Pycnonotus goiavier,Aurora,3
Pycnonotus goiavier,Bataan,198
Pycnonotus goiavier,Batangas,94
Pycnonotus goiavier,Benguet,33
Pycnonotus goiavier,Bohol,60
Pycnonotus goiavier,Bukidnon,110
Pycnonotus goiavier,Bulacan,85
Pycnonotus goiavier,Cagayan,8
Pycnonotus goiavier,Camarines Norte,1
Pycnonotus goiavier,Camarines Sur,58
Pycnonotus goiavier,Camiguin,29
Pycnonotus goiavier,Capiz,1
Pycnonotus goiavier,Cavite,229
Pycnonotus goiavier,Cebu,90
Pycnonotus goiavier,Compostela Valley,44
Pycnonotus goiavier,Cotabato,25
Pycnonotus goiavier,Davao Occidental,1
Pycnonotus goiavier,Davao Oriental,3
Pycnonotus goiavier,Davao del Norte,32
Pycnonotus goiavier,Davao del Sur,279
Pycnonotus goiavier,Eastern Samar,2
Pycnonotus goiavier,Guimaras,7
Pycnonotus goiavier,Ifugao,18
Pycnonotus goiavier,Ilocos Norte,19
Pycnonotus goiavier,Ilocos Sur,25
Pycnonotus goiavier,Iloilo,113
Pycnonotus goiavier,Isabela,15
Pycnonotus goiavier,Kalinga,1
Pycnonotus goiavier,La Union,30
